Geography,Segment,Variety,Timeframe,Period,"Current Year Week Ending","Units Prior Year","Units Current Year","Unit Variance","Dollars Prior Year","Dollars Current Year","Dollar Variance","ASP Prior Year","ASP Current Year","ASP Variance"
Louisville,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",579846.12,614038.51,0.058968041,585373.22,541063.26,-0.075695229,1.009532012,0.881155255,-0.127164622
"Miami/FT. Lauderdale",Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",4263645.87,5087971.24,0.193338142,4371303.45,4634723.10,0.060261122,1.025250122,0.910917708,-0.111516606
Nashville,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",1268485.39,1298599.84,0.023740478,1215126.49,1076145.63,-0.114375632,0.957934951,0.828696876,-0.134913206
"New Orleans/Mobile",Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",1433115.36,1530332.29,0.067836081,1462951.48,1295901.50,-0.114186959,1.020819064,0.846810532,-0.170459720
"New York",Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",8371742.33,8393223.32,0.002565892,10789717.82,11462097.88,0.062316742,1.288825838,1.365637186,0.059597928
"Northern New England",Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",2587904.80,2916509.49,0.126977117,3057187.05,2905154.03,-0.049729708,1.181336752,0.996106490,-0.156797172
Orlando,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",2452364.47,2876751.60,0.173052226,2451877.93,2546799.88,0.038713979,0.999801604,0.885304063,-0.114520261
Philadelphia,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",2614648.79,2667331.29,0.020148978,2943265.86,3039568.91,0.032719793,1.125683064,1.139554326,0.012322529
Phoenix/Tucson,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",6216465.53,5864311.63,-0.056648573,4492269.24,4383709.73,-0.024165851,0.722640417,0.747523325,0.034433320
Pittsburgh,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",614094.81,622354.57,0.013450301,700392.88,673239.97,-0.038768113,1.140528903,1.081762716,-0.051525382
Portland,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",2995111.04,3425620.07,0.143737252,3382631.33,3561322.09,0.052825964,1.129384282,1.039613856,-0.079486165
Raleigh/Greensboro,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",1833628.55,1813440.47,-0.011009907,1916897.21,1914452.16,-0.001275525,1.045411957,1.055701685,0.009842750
Richmond/Norfolk,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",1532256.08,1530212.60,-0.001333641,1439612.84,1384072.69,-0.038579921,0.939538018,0.904496990,-0.037296019
Roanoke,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",951970.98,932146.48,-0.020824689,889537.83,803071.54,-0.097203612,0.934416961,0.861529338,-0.078003317
Sacramento,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",2281890.07,2207941.31,-0.032406802,2662135.80,2707449.98,0.017021739,1.166636305,1.226232766,0.051084010
"San Diego",Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",2548147.30,2544208.46,-0.001545766,2521798.23,2654103.49,0.052464649,0.989659519,1.043194193,0.054094032
"San Francisco",Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",4039188.11,3939543.52,-0.024669460,5516757.09,5555359.57,0.006997314,1.365808410,1.410153116,0.032467735
Seattle,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",2786932.92,3070954.03,0.101911714,3836627.75,3892045.55,0.014444404,1.376648761,1.267373432,-0.079377784
"South Carolina",Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",2266224.98,2238223.51,-0.012355997,2316906.27,2184387.63,-0.057196375,1.022363750,0.975947049,-0.045401357
Spokane,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",450220.57,486195.05,0.079904123,548475.03,519774.09,-0.052328617,1.218236275,1.069064957,-0.122448593
"St. Louis",Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",913357.15,877415.03,-0.039351660,1070474.37,1004425.77,-0.061700310,1.172021668,1.144755601,-0.023264132
Syracuse,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",415503.68,440614.70,0.060435133,471838.24,454676.66,-0.036371745,1.135581374,1.031914414,-0.091289768
Tampa,Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",2659930.99,3129819.36,0.176654346,2702749.24,2751773.45,0.018138645,1.016097504,0.879211588,-0.134717304
"West Tex/New Mexico",Avocados,Hass,"Last 04 Wks",1,"2020-01-26 00:00:00",3943681.77,3995125.26,0.013044534,3421342.59,3424547.05,0.000936609,0.867550373,0.857181397,-0.011952016
California,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",32495863.75,33613163.66,0.034382835,29965157.93,35149134.31,0.173000135,0.922122217,1.045695510,0.134009669
"Great Lakes",Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",19859615.60,20935384.39,0.054168661,18535544.39,19061604.68,0.028381162,0.933328457,0.910497000,-0.024462403
Midsouth,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",18296574.26,19179079.56,0.048233363,18137141.03,19293572.14,0.063760386,0.991286170,1.005969660,0.014812564
Northeast,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",25846958.65,25558749.90,-0.011150587,29960983.14,31246514.49,0.042906848,1.159168610,1.222536885,0.054667004
Plains,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",10733104.87,10665680.62,-0.006281896,9914636.03,9875952.63,-0.003901646,0.923743516,0.925956156,0.002395297
"South Central",Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",34041502.14,34147104.88,0.003102176,25049702.02,25020083.45,-0.001182392,0.735857716,0.732714634,-0.004271318
Southeast,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",26142234.12,25872955.99,-0.010300502,24181972.01,24578227.16,0.016386387,0.925015509,0.949958218,0.026964638
"Total U.S.",Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",201786525.20,206247688.10,0.022108329,188091210.80,199173119.20,0.058917736,0.932129688,0.965698675,0.036013215
West,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",34370671.36,36275569.38,0.055422194,32346074.07,34948030.29,0.080441175,0.941095207,0.963404045,0.023705188
Albany,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",591660.96,599869.07,0.013872996,630650.25,668848.57,0.060569737,1.065898027,1.114990926,0.046057782
Atlanta,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",3389383.55,3490592.57,0.029860598,3002135.22,3234698.29,0.077465888,0.885746678,0.926690304,0.046224984
Baltimore/Washington,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",4219776.22,4607296.66,0.091834358,5005780.89,5513228.86,0.101372389,1.186266908,1.196629882,0.008735786
Boise,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",489350.03,573724.62,0.172421753,535384.63,576768.87,0.077298147,1.094072948,1.005306117,-0.081134289
Boston,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",3412752.90,3203741.62,-0.061244188,3939714.01,4098493.82,0.040302370,1.154409395,1.279283509,0.108171429
Buffalo/Rochester,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",828978.24,851577.07,0.027261065,951410.67,911708.92,-0.041729351,1.147690764,1.070612340,-0.067159575
Charlotte,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",1391758.81,1551640.19,0.114877218,1430623.61,1573060.41,0.099562735,1.027924953,1.013804889,-0.013736474
Chicago,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",3924021.80,4070164.95,0.037243205,3834258.67,4090589.02,0.066852649,0.977124712,1.005017996,0.028546289
Cincinnati/Dayton,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",1409956.39,1565099.46,0.110033949,1159318.99,1390726.74,0.199606624,0.822237481,0.888586812,0.080693635
Columbus,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",1037495.25,1147746.71,0.106266954,917297.15,943893.28,0.028994018,0.884145879,0.822388138,-0.069850171
"Dallas/Ft. Worth",Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",7173485.60,7508718.80,0.046732261,4978355.82,5252033.61,0.054973529,0.693993980,0.699458023,0.007873330
Denver,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",4228190.18,4691391.12,0.109550640,4311230.78,4828447.05,0.119969516,1.019639750,1.029214347,0.009390176
Detroit,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",2328835.22,2661036.00,0.142646752,2218855.99,2238597.15,0.008896999,0.952775006,0.841250231,-0.117052582
"Grand Rapids",Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",1115014.66,973052.01,-0.127319088,1198422.47,1099417.77,-0.082612520,1.074804227,1.129865371,0.051228998
Harrisburg/Scranton,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",1608591.23,1708552.72,0.062142257,1656280.99,1746088.60,0.054222448,1.029646910,1.021969401,-0.007456449
Hartford/Springfield,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",1713760.34,1664772.33,-0.028585100,2122700.58,2294826.05,0.081087965,1.238621603,1.378462393,0.112900332
Houston,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",7119319.30,6356200.14,-0.107189905,4822842.07,4242484.80,-0.120335118,0.677430224,0.667456138,-0.014723414
Indianapolis,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",1085387.26,1240608.45,0.143009961,947438.16,1005027.17,0.060783925,0.872903336,0.810108274,-0.071938162
Jacksonville,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",1188310.00,1135681.16,-0.044288814,1121921.10,1101392.84,-0.018297419,0.944131666,0.969808146,0.027195868
"Las Vegas",Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",1725227.07,1738081.69,0.007450973,1529955.73,1614977.54,0.055571418,0.886814122,0.929172403,0.047764553
"Los Angeles",Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",16000743.64,15935310.16,-0.004089402,13174925.68,15592558.86,0.183502605,0.823394586,0.978491081,0.188362296
Louisville,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",637581.86,596513.03,-0.064413423,552066.78,543854.71,-0.014875139,0.865875921,0.911723102,0.052948904
"Miami/FT. Lauderdale",Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",4814684.65,4728222.00,-0.017958113,4549639.41,4694386.27,0.031815018,0.944950654,0.992843879,0.050683307
Nashville,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",1252778.60,1320661.52,0.054185887,1120633.25,1122053.13,0.001267034,0.894518193,0.849614464,-0.050198788
"New Orleans/Mobile",Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",1640525.23,1608656.65,-0.019425840,1323934.20,1260455.23,-0.047947224,0.807018494,0.783545221,-0.029086413
"New York",Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",9057843.40,8931072.90,-0.013995660,11195794.23,11796856.79,0.053686460,1.236033097,1.320877897,0.068642822
"Northern New England",Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",2738128.89,2668450.18,-0.025447564,2948398.87,2933572.48,-0.005028624,1.076793310,1.099354413,0.020952120
Orlando,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",2664460.94,2657381.12,-0.002657130,2491358.05,2547841.84,0.022671888,0.935032679,0.958779236,0.025396500
Philadelphia,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",2622053.23,2699048.53,0.029364507,2952195.34,3090435.06,0.046826075,1.125909767,1.145009075,0.016963445
Phoenix/Tucson,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",6367358.72,6439887.49,0.011390715,4291530.28,4695656.37,0.094168295,0.673989085,0.729151927,0.081845303
Pittsburgh,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",659431.75,594165.67,-0.098973214,692319.33,685503.88,-0.009844373,1.049872606,1.153725155,0.098919191
Portland,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",3215536.19,3493960.34,0.086587161,3526748.58,3689460.65,0.046136566,1.096783980,1.055953786,-0.037227197
Raleigh/Greensboro,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",1821953.99,1996116.61,0.095591119,1796430.23,1981499.20,0.103020405,0.985990996,0.992677076,0.006781076
Richmond/Norfolk,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",1544221.06,1659903.68,0.074913251,1319786.33,1445589.85,0.095321127,0.854661528,0.870887792,0.018985602
Roanoke,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",1031934.84,989671.96,-0.040954989,859407.35,858213.13,-0.001389586,0.832811643,0.867169289,0.041255002
Sacramento,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",2350805.44,2433669.49,0.035249217,2480836.18,2860232.05,0.152930642,1.055313272,1.175275468,0.113674489
"San Diego",Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",2914337.29,3156532.33,0.083104670,2514700.56,3042348.72,0.209825443,0.862872176,0.963826250,0.116997716
"San Francisco",Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",4267344.98,4668833.49,0.094083912,4975545.18,5639334.23,0.133410315,1.165958038,1.207867927,0.035944595
Seattle,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",3015062.95,3082318.83,0.022306625,3754801.17,4015883.57,0.069532949,1.245347521,1.302877409,0.046195850
"South Carolina",Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",2343565.38,2334315.23,-0.003947042,2265298.09,2265198.72,-4.390500000,0.966603326,0.970391098,0.003918642
Spokane,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",480182.53,503555.11,0.048674366,542228.29,571008.47,0.053077607,1.129212864,1.133954276,0.004198864
"St. Louis",Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",930887.41,916271.91,-0.015700610,972327.90,989709.00,0.017875760,1.044517188,1.080147704,0.034111948
Syracuse,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",412062.30,422557.18,0.025469158,455166.40,460464.52,0.011639963,1.104605784,1.089709374,-0.013485725
Tampa,Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",2943022.21,2878899.18,-0.021788157,2749727.35,2678733.13,-0.025818640,0.934320965,0.930471323,-0.004120256
"West Tex/New Mexico",Avocados,Hass,"Last 04 Wks",2,"2020-02-23 00:00:00",4392784.51,4455687.15,0.014319537,3335448.58,3654488.01,0.095651131,0.759301662,0.820185055,0.080183405
